f(x): 7245.703125	x1: 2.5394284065426294	x2: 2.569674116994303	
f(x): 2165.7294990863616	x1: 2.1266976937856814	x2: 2.2020891846216704	
f(x): 663.9758798381501	x1: 1.745942441219872	x2: 1.8881707282419042	
f(x): 214.15403897606535	x1: 1.379032566118245	x2: 1.6196640523561958	
f(x): 76.17688947555264	x1: 1.004723616281808	x2: 1.389427127988886	
f(x): 32.341848492632764	x1: 0.6058969628374713	x2: 1.1951448407120198	
f(x): 18.240000230487524	x1: 0.2211187728738202	x2: 1.0545610283905509	
f(x): 14.553651594080728	x1: 0.02121703150437862	x2: 1.0033152039259896	
f(x): 14.205081697046602	x1: 0.00010522453205968896	x2: 1.0000088433150764	
f(x): 14.203125025822477	x1: 1.517267431716562e-09	x2: 1.0000000019529698	
f(x): 14.203125	x1: 3.519247659923597e-14	x2: 1.0000000000000273	
f(x): 14.203125	x1: 4.920874305141268e-19	x2: 1.0	
f(x): 14.203125	x1: -1.5975569629392678e-28	x2: 1.0	
f(x): 14.203125	x1: 5.186454487073412e-38	x2: 1.0	
f(x): 14.203125	x1: -1.6837770363377607e-47	x2: 1.0	
f(x): 14.203125	x1: 5.466367115168171e-57	x2: 1.0	
f(x): 14.203125	x1: -1.7746504847567496e-66	x2: 1.0	
f(x): 14.203125	x1: 5.761384971361084e-76	x2: 1.0	
f(x): 14.203125	x1: -1.8704284284934827e-85	x2: 1.0	
f(x): 14.203125	x1: 6.072329111385995e-95	x2: 1.0	
f(x): 14.203125	x1: -1.9713755283635237e-104	x2: 1.0	
f(x): 14.203125	x1: 6.400052969406619e-114	x2: 1.0	
f(x): 14.203125	x1: -2.077771474985139e-123	x2: 1.0	
f(x): 14.203125	x1: 6.745466424740867e-133	x2: 1.0	
f(x): 14.203125	x1: -2.189908989995929e-142	x2: 1.0	
f(x): 14.203125	x1: 7.109517631299191e-152	x2: 1.0	
f(x): 14.203125	x1: -2.308098019924483e-161	x2: 1.0	
f(x): 14.203125	x1: 7.493218667061168e-171	x2: 1.0	
f(x): 14.203125	x1: -2.432666388854044e-180	x2: 1.0	
f(x): 14.203125	x1: 7.897628475059259e-190	x2: 1.0	
