f(x): 30.259999999999998	x1: -4.99452	x2: 5.99448	
f(x): 30.199529450016	x1: -4.986305499199999	x2: 5.986205500800001	
f(x): 30.108997411412247	x1: -4.976731991300031	x2: 5.976561997699968	
f(x): 30.003658902782856	x1: -4.966488586955675	x2: 5.966243602555324	
f(x): 29.89115338280466	x1: -4.955920513789054	x2: 5.955598043787934	
f(x): 29.775302859726594	x1: -4.945200711477555	x2: 5.9447995115748515	
f(x): 29.658018192131927	x1: -4.934415802186281	x2: 5.933935253380782	
f(x): 29.540254058094586	x1: -4.923609162401885	x2: 5.92304895836694	
f(x): 29.42248689626766	x1: -4.9128025022452215	x2: 5.9121624930037155	
f(x): 29.304953991002492	x1: -4.902006676869081	x2: 5.901286790624663	
f(x): 29.187773043655724	x1: -4.8912271030495384	x2: 5.890427307099115	
f(x): 29.071001965447206	x1: -4.880466472938774	x2: 5.879586754127185	
f(x): 28.95466877568596	x1: -4.869726113675482	x2: 5.868766468622064	
f(x): 28.838786551322972	x1: -4.859006668559787	x2: 5.8579670987712555	
f(x): 28.723360901826716	x1: -4.848308438326878	x2: 5.8471889477535814	
f(x): 28.60839370663461	x1: -4.837631552127572	x2: 5.836432145941516	
f(x): 28.493884983871116	x1: -4.82697605319076	x2: 5.825696737174573	
f(x): 28.379833824693655	x1: -4.816341941740852	x2: 5.814982721982238	
f(x): 28.26623886045133	x1: -4.805729196499641	x2: 5.804290079238605	
f(x): 28.153098496249648	x1: -4.795137785458821	x2: 5.793618777011265	
f(x): 28.04041102771824	x1: -4.784567671277007	x2: 5.782968777996528	
f(x): 27.928174699380165	x1: -4.774018813983598	x2: 5.772340042242389	
f(x): 27.816387733821998	x1: -4.763491172333345	x2: 5.761732528512641	
f(x): 27.705048346264388	x1: -4.75298470448492	x2: 5.751146194970221	
f(x): 27.594154751832942	x1: -4.7424993683407894	x2: 5.740580999519473	
f(x): 27.483705169179274	x1: -4.732035121717417	x2: 5.730036899977546	
